name,company,contract_period,rental_fee,benefit
LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"48,700","216,000"
LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"38,400","225,000"
LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"32,600","243,000"
삼성 2024 Crystal UHD TV 75인치 (스탠드 or 벽걸이형) (KU75UD7030FXKR),렌티스,36개월,"74,000","261,000"
삼성 2024 Crystal UHD TV 75인치 (스탠드 or 벽걸이형) (KU75UD7030FXKR),렌티스,48개월,"59,900","282,000"
삼성 2024 Crystal UHD TV 75인치 (스탠드 or 벽걸이형) (KU75UD7030FXKR),렌티스,60개월,"50,900","299,000"
아남 무빙스마트TV 27인치 (ANM27HKG),LG헬로비전,36개월,"17,900","115,000"
아남 무빙스마트TV 27인치 (ANM27HKG),LG헬로비전,48개월,"13,900","120,000"
아남 무빙스마트TV 27인치 (ANM27HKG),LG헬로비전,60개월,"11,900","128,000"
LG 올레드 OLED TV 65인치 (OLED65B5S) (스탠드 or 벽걸이),LG구독,36개월,"85,800","233,000"
LG 올레드 OLED TV 65인치 (OLED65B5S) (스탠드 or 벽걸이),LG구독,48개월,"69,800","237,000"
LG 올레드 OLED TV 65인치 (OLED65B5S) (스탠드 or 벽걸이),LG구독,60개월,"59,200","242,000"
LG 올레드 OLED TV 77인치 (OLED77B4S) (스탠드 or 벽걸이),LG구독,36개월,"146,800","400,000"
LG 올레드 OLED TV 77인치 (OLED77B4S) (스탠드 or 벽걸이),LG구독,48개월,"119,700","407,000"
LG 올레드 OLED TV 77인치 (OLED77B4S) (스탠드 or 벽걸이),LG구독,60개월,"101,600","415,000"
삼성 2024 Crystal UHD TV 75인치 (벽걸이형) (KU75UD7030FXKR),스마트렌탈,36개월,"65,900","252,000"
삼성 2024 Crystal UHD TV 75인치 (벽걸이형) (KU75UD7030FXKR),스마트렌탈,48개월,"52,900","270,000"
삼성 2024 Crystal UHD TV 75인치 (벽걸이형) (KU75UD7030FXKR),스마트렌탈,60개월,"44,000","280,000"
삼성 QLED 75인치 벽걸이형 (KQ75QD68AFXKR_W),스마트렌탈,36개월,"98,900","378,000"
삼성 QLED 75인치 벽걸이형 (KQ75QD68AFXKR_W),스마트렌탈,48개월,"78,500","400,000"
삼성 QLED 75인치 벽걸이형 (KQ75QD68AFXKR_W),스마트렌탈,60개월,"66,500","424,000"
삼성 QLED 75인치 벽걸이형 (KQ75QD68AFXKR_W),BS ON,36개월,"70,500","373,000"
삼성 QLED 75인치 벽걸이형 (KQ75QD68AFXKR_W),BS ON,48개월,"56,000","396,000"
삼성 QLED 75인치 벽걸이형 (KQ75QD68AFXKR_W),BS ON,60개월,"48,000","424,000"
삼성 THE Frame QLED 4K TV (KQ85LSD03AFXKR) (스탠드),렌티스,36개월,"205,000","724,000"
삼성 THE Frame QLED 4K TV (KQ85LSD03AFXKR) (스탠드),렌티스,48개월,"165,000","777,000"
삼성 THE Frame QLED 4K TV (KQ85LSD03AFXKR) (스탠드),렌티스,60개월,"141,000","830,000"
삼성 THE Frame QLED 4K TV (KQ85LSD03AFXKR) (스탠드),지니원(개인전용),36개월,"210,400","1,106,000"
삼성 THE Frame QLED 4K TV (KQ85LSD03AFXKR) (스탠드),지니원(개인전용),48개월,"166,300","1,063,000"
삼성 THE Frame QLED 4K TV (KQ85LSD03AFXKR) (스탠드),지니원(개인전용),60개월,"140,600","1,014,000"
삼성 THE Frame QLED 4K TV (KQ85LSD03AFXKR) (스탠드),현대렌탈서비스,36개월,"197,500","1,044,000"
삼성 THE Frame QLED 4K TV (KQ85LSD03AFXKR) (스탠드),현대렌탈서비스,48개월,"156,400","1,107,000"
삼성 THE Frame QLED 4K TV (KQ85LSD03AFXKR) (스탠드),현대렌탈서비스,60개월,"132,300","1,170,000"
삼성 UHD TV 55인치 (LH55BEDHLBFXKR) (스탠드형),LG헬로비전,36개월,"26,500","171,000"
삼성 UHD TV 55인치 (LH55BEDHLBFXKR) (스탠드형),LG헬로비전,48개월,"20,000","172,000"
삼성 UHD TV 55인치 (LH55BEDHLBFXKR) (스탠드형),LG헬로비전,60개월,"16,900","182,000"
"아남 UHD 스마트 TV 55인치  (벽걸이, 스탠드)",스마트렌탈,36개월,"29,900","114,000"
"아남 UHD 스마트 TV 55인치  (벽걸이, 스탠드)",스마트렌탈,48개월,"23,900","122,000"
"아남 UHD 스마트 TV 55인치  (벽걸이, 스탠드)",스마트렌탈,60개월,"19,900","126,000"
"아남 UHD 스마트 TV 55인치  (벽걸이, 스탠드)",LG헬로비전,36개월,"27,900","180,000"
"아남 UHD 스마트 TV 55인치  (벽걸이, 스탠드)",LG헬로비전,48개월,"21,900","189,000"
"아남 UHD 스마트 TV 55인치  (벽걸이, 스탠드)",LG헬로비전,60개월,"18,900","204,000"
"아남 UHD 스마트 TV 55인치  (벽걸이, 스탠드)",현대렌탈서비스,36개월,"28,200","126,000"
"아남 UHD 스마트 TV 55인치  (벽걸이, 스탠드)",현대렌탈서비스,48개월,"22,300","135,000"
"아남 UHD 스마트 TV 55인치  (벽걸이, 스탠드)",현대렌탈서비스,60개월,"18,600","135,000"
LG IPS UHD TV 75인치 (75UT931C0NA) (스탠드 or 벽걸이),BS ON,36개월,"86,500","458,000"
